leaf_name,iucn_status,domain,kingdom,phylum,N,EDGE2_mean,min,2.5pct,median,97.5pct,max,ED2_mean,min,2.5pct,median,97.5pct,max,p_ext_mean,min,2.5pct,median,97.5pct,max
Dicaeum_quadricolor_ott3597780,CR,no_domain,no_kingdom,no_phylum,1000,16.841479,12.662770,12.860336,18.211520,18.354564,18.354564,18.356400,18.356400,18.356400,18.356400,18.356400,18.356400,0.917472,0.689829,0.700591,0.992107,0.999900,0.999900
Ptilinopus_chrysogaster_ott7659224,No status,no_domain,no_kingdom,no_phylum,1000,16.193967,0.146147,0.869952,10.354047,43.892010,43.892010,43.896400,43.896400,43.896400,43.896400,43.896400,43.896400,0.368913,0.003329,0.019818,0.235875,0.999900,0.999900
Pedionomus_torquatus_ott163953,EN,no_domain,no_kingdom,no_phylum,1000,15.837591,10.971384,11.124880,15.476817,21.665324,22.027600,31.965759,31.965700,31.965701,31.965734,31.965944,31.966113,0.495455,0.343223,0.348025,0.484169,0.677768,0.689099
Gallicolumba_platenae_ott538010,CR,no_domain,no_kingdom,no_phylum,1000,15.272369,10.468510,11.380143,15.624268,17.744460,18.000914,16.708491,14.862366,15.188671,16.952429,17.832517,18.002715,0.913986,0.689342,0.701085,0.972394,0.999900,0.999900
Gallicolumba_keayi_ott538007,CR,no_domain,no_kingdom,no_phylum,1000,15.261763,10.405127,11.603398,15.671354,17.745556,18.000914,16.717742,14.827851,15.117622,16.942761,17.833486,18.039938,0.912946,0.689342,0.702079,0.982781,0.999900,0.999900
Phaenicophaeus_oeneicaudus_ott6520628,No status,no_domain,no_kingdom,no_phylum,1000,15.163580,0.102903,0.742374,9.133216,41.970303,41.970303,41.974500,41.974500,41.974500,41.974500,41.974500,41.974500,0.361257,0.002452,0.017686,0.217590,0.999900,0.999900
Aythya_baeri_ott3595900,CR,no_domain,no_kingdom,no_phylum,1000,15.128440,11.454700,11.691198,16.163171,16.609339,16.609339,16.611000,16.611000,16.611000,16.611000,16.611000,16.611000,0.910748,0.689585,0.703823,0.973040,0.999900,0.999900
Troglodytes_monticola_ott3599093,CR,no_domain,no_kingdom,no_phylum,1000,15.009374,11.351759,11.626531,16.057552,16.454266,16.454266,16.455912,16.455912,16.455912,16.455912,16.455912,16.455912,0.912096,0.689829,0.706526,0.975792,0.999900,0.999900
Eriocnemis_isabellae_ott3600581,CR,no_domain,no_kingdom,no_phylum,1000,14.990691,10.260796,10.849845,15.057695,19.825761,22.405321,16.494942,14.611177,14.686896,15.839721,20.919631,22.407562,0.909039,0.689342,0.703080,0.957456,0.999900,0.999900
Macropygia_macassariensis_ott7659210,No status,no_domain,no_kingdom,no_phylum,1000,14.641325,0.080970,0.620191,8.553533,50.929029,59.227085,40.138402,29.676547,30.042680,36.116794,59.233008,59.233008,0.365622,0.002248,0.016855,0.217991,0.999900,0.999900
Eutriorchis_astur_ott677099,EN,no_domain,no_kingdom,no_phylum,1000,14.516021,10.029746,10.166432,14.089010,19.764349,20.151727,29.243600,29.243600,29.243600,29.243600,29.243600,29.243600,0.496383,0.342972,0.347646,0.481781,0.675852,0.689099
Ptilinopus_fischeri_ott3596575,No status,no_domain,no_kingdom,no_phylum,1000,14.332738,0.063224,0.594971,9.133359,52.009356,59.227085,40.446988,29.684588,30.117199,36.074440,59.233008,59.233008,0.355203,0.001977,0.014339,0.219421,0.999900,0.999900
Centropus_burchellii_ott6520629,No status,no_domain,no_kingdom,no_phylum,1000,14.238277,0.125116,0.661999,9.049385,40.886011,40.886011,40.890100,40.890100,40.890100,40.890100,40.890100,40.890100,0.348208,0.003060,0.016190,0.221310,0.999900,0.999900
Canadaga_arctica_ott6150768,No status,no_domain,no_kingdom,no_phylum,1000,13.449252,0.076325,0.512999,8.360470,39.982601,39.982601,39.986600,39.986600,39.986600,39.986600,39.986600,39.986600,0.336344,0.001909,0.012829,0.209082,0.999900,0.999900
Ptilinopus_mangoliensis_ott3596598,No status,no_domain,no_kingdom,no_phylum,1000,13.328427,0.064551,0.656269,8.778681,46.115576,50.463000,34.420710,25.285183,25.697491,31.005448,50.468046,50.468046,0.387792,0.002113,0.018780,0.269141,0.999900,0.999900
Struthio_molybdophanes_ott3600823,No status,no_domain,no_kingdom,no_phylum,1000,12.923875,0.074320,0.622716,7.938088,36.309155,36.742386,35.434038,33.692789,33.810137,35.503777,36.693910,36.761535,0.364798,0.002045,0.017655,0.225038,0.999900,0.999900
Oceanodroma_macrodactyla_ott3595638,No status,no_domain,no_kingdom,no_phylum,1000,12.854176,0.102929,0.939159,8.635253,35.187681,35.187690,35.191200,35.191200,35.191200,35.191200,35.191200,35.191209,0.365267,0.002925,0.026687,0.245381,0.999900,0.999900
Macropygia_modiglianii_ott7659212,No status,no_domain,no_kingdom,no_phylum,1000,12.727805,0.061252,0.539171,7.924357,45.498134,50.463000,35.021332,25.288611,25.709216,32.027140,50.468046,50.468046,0.363991,0.001977,0.018315,0.228654,0.999900,0.999900
Pseudibis_davisoni_ott3596739,CR,no_domain,no_kingdom,no_phylum,1000,12.546966,9.348146,9.620071,13.197561,14.317239,14.599731,13.780680,13.559923,13.565517,13.682259,14.485665,14.628074,0.910502,0.689342,0.699858,0.962575,0.999900,0.999900
Gallirex_johnstoni_ott1043298,No status,no_domain,no_kingdom,no_phylum,1000,11.736326,0.060499,0.566736,7.244955,41.457796,48.384473,31.162258,21.574029,21.976058,27.675194,48.389312,48.389312,0.375356,0.002045,0.018371,0.239968,0.999900,0.999900
Vanellus_gregarius_ott3596988,CR,no_domain,no_kingdom,no_phylum,1000,11.722578,8.803750,9.000849,12.568893,12.973909,12.991840,12.864145,12.703706,12.715076,12.874566,12.982371,12.993140,0.911267,0.689585,0.696918,0.976927,0.999900,0.999900
Atrichornis_clamosus_ott1031586,EN,no_domain,no_kingdom,no_phylum,1000,11.418885,7.091891,7.725422,11.174728,16.180370,17.718338,22.864967,20.543114,20.606926,22.665228,25.650152,25.854791,0.499489,0.342721,0.348025,0.488530,0.679430,0.688612
Gallirex_porphyreolophus_ott236083,No status,no_domain,no_kingdom,no_phylum,1000,11.383892,0.056512,0.477879,7.373168,42.030275,48.384473,31.602578,21.568557,22.007388,27.963553,48.389312,48.389312,0.358974,0.002248,0.017206,0.229240,0.999900,0.999900
Phodilus_prigoginei_ott173450,DD,no_domain,no_kingdom,no_phylum,1000,11.383217,0.056077,0.557810,7.500020,30.460534,30.460534,30.463580,30.463580,30.463580,30.463580,30.463580,30.463580,0.373666,0.001841,0.018311,0.246196,0.999900,0.999900
Pterodroma_caribbaea_ott3595616,CR,no_domain,no_kingdom,no_phylum,1000,11.377290,7.864627,8.338183,11.550083,13.858994,14.050181,12.494412,11.172252,11.216424,12.449554,13.995398,14.053609,0.910440,0.689342,0.703804,0.975144,0.999900,0.999900
Atrichornis_rufescens_ott3598363,EN,no_domain,no_kingdom,no_phylum,1000,11.345350,7.107124,7.688454,11.008916,16.063646,17.727286,22.938664,20.524678,20.619479,22.770257,25.686673,25.837002,0.494678,0.342721,0.347637,0.482134,0.676337,0.687398
