uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
3594666	|	818997	|	Diplobatis	|	genus	|	ncbi:1870829,worms:268991,gbif:2417719,irmng:1350181	|		|		|	
773792	|	3594666	|	Diplobatis ommata	|	species	|	ncbi:1870830,worms:280551,gbif:2417725,irmng:10580091	|		|		|	
3594667	|	3594666	|	Diplobatis colombiensis	|	species	|	worms:280549,gbif:2417729,irmng:11215656	|		|		|	
3594671	|	3594666	|	Diplobatis guamachensis	|	species	|	worms:280550,gbif:2417723,irmng:11372356	|		|		|	
3594668	|	3594666	|	Diplobatis pictus	|	species	|	worms:280552,gbif:2417720,irmng:10164543	|		|		|	
493416	|	818997	|	Discopyge	|	genus	|	ncbi:7784,worms:269004,gbif:2417716,irmng:1330744	|		|		|	
32568	|	493416	|	Discopyge tschudii	|	species	|	ncbi:458575,worms:280568,gbif:2417718,irmng:11303463	|		|		|	
3594662	|	493416	|	Discopyge castelloi	|	species	|	worms:474891,gbif:2417717,irmng:11717376	|		|		|	
920359	|	818997	|	Narcine	|	genus	|	ncbi:195315,worms:157865,gbif:8405394,irmng:1307049	|		|		|	
295468	|	920359	|	Narcine brevilabiata	|	species	|	ncbi:626243,worms:275387,gbif:2417767,irmng:10580332	|		|		|	
3594655	|	920359	|	Narcine lingula	|	species	|	ncbi:1508082,worms:275394,gbif:2417740,irmng:10153151	|		|		|	
703721	|	920359	|	Narcine westraliensis	|	species	|	ncbi:495871,worms:275401,gbif:2417752,irmng:10161073	|		|		|	
703724	|	920359	|	Narcine lasti	|	species	|	ncbi:495870,worms:275392,gbif:2417754,irmng:11105754	|		|		|	
808382	|	920359	|	Narcine entemedor	|	species	|	ncbi:1213697,worms:275389,gbif:2417774,irmng:10157281	|		|		|	
3594656	|	920359	|	Narcine bancroftii	|	species	|	ncbi:1343680,worms:275386,gbif:2417744,irmng:11177549	|		|		|	
73023	|	920359	|	Narcine tasmaniensis	|	species	|	ncbi:257757,worms:275398,gbif:2417739,irmng:10662860	|		|		|	
3594651	|	920359	|	Narcine leoparda	|	species	|	ncbi:2293330,worms:275393,gbif:2417757,irmng:10150914	|		|		|	
5744209	|	920359	|	Narcine cf. oculifera KKB-2014	|	species	|	ncbi:1455687	|		|		|	
385698	|	920359	|	Narcine brunnea	|	species	|	ncbi:586834,worms:275388,gbif:2417766,irmng:10892234	|		|		|	
7060766	|	920359	|	unclassified Narcine	|	no rank - terminal	|	ncbi:2599789	|		|	not_otu,was_container	|	
920356	|	920359	|	Narcine timlei	|	species	|	ncbi:195316,worms:275399,gbif:2417758,irmng:10576333	|		|		|	
754018	|	920359	|	Narcine brasiliensis	|	species	|	ncbi:307038,worms:157866,gbif:2417770,irmng:10152510	|		|		|	
3594654	|	920359	|	Narcine maculata	|	species	|	ncbi:1455688,worms:367293,gbif:8860645,irmng:11396959	|		|		|	
7060765	|	920359	|	Narcine sp. 1 KJ-2019	|	species	|	ncbi:2599790	|		|	incertae_sedis	|	
5744210	|	920359	|	Narcine sp. KKB-2014	|	species	|	ncbi:1455689	|		|	incertae_sedis	|	
3594658	|	920359	|	Narcine rierai	|	species	|	worms:221343,gbif:2417776,irmng:11412590	|		|		|	
3594659	|	920359	|	Narcine atzi	|	species	|	worms:275385,gbif:2417773,irmng:10937673	|		|		|	
3594653	|	920359	|	Narcine insolita	|	species	|	worms:275391,gbif:2417741,irmng:10150913	|		|		|	
3594657	|	920359	|	Narcine oculifera	|	species	|	worms:275396,gbif:2417775,irmng:10577395	|		|		|	
3594650	|	920359	|	Narcine prodorsalis	|	species	|	worms:275397,gbif:2417751,irmng:11419955	|		|		|	
3594652	|	920359	|	Narcine vermiculatus	|	species	|	worms:275400,gbif:2417755,irmng:10157473	|		|		|	
3594660	|	920359	|	Narcine nelsoni	|	species	|	worms:398280,gbif:2417742,irmng:11461917	|		|		|	
3594661	|	920359	|	Narcine ornata	|	species	|	worms:398281,gbif:2417768,irmng:11461793	|		|		|	
6139350	|	920359	|	Narcine olisiponensis	|	no rank	|	gbif:8541964	|		|	extinct,incertae_sedis	|	
6139348	|	920359	|	Narcine baliensis	|	species	|	gbif:8617857	|		|		|	
6139349	|	920359	|	Narcine molini	|	no rank	|	gbif:8658296	|		|	extinct,incertae_sedis	|	
4146082	|	818997	|	Narcinops	|	genus	|	gbif:4842617	|		|		|	
7649140	|	4146082	|	Narcinops nelsoni	|	species	|	gbif:9759105	|		|		|	
932203	|	356640	|	Narkidae	|	family	|	ncbi:117892,worms:196076,gbif:2192,irmng:110365	|		|		|	
129234	|	932203	|	Narke	|	genus	|	ncbi:62964,worms:206363,gbif:2419754,irmng:1035220	|		|		|	
129235	|	129234	|	Narke japonica	|	species	|	ncbi:62965,worms:278822,gbif:9782215,irmng:10580335	|		|		|	
642075	|	129234	|	Narke capensis	|	species	|	ncbi:1003762,worms:221344,gbif:2419755,irmng:10577573	|		|		|	
868816	|	129234	|	Narke dipterygia	|	species	|	ncbi:1175541,worms:278821,gbif:2419760,irmng:10448377	|		|		|	
3594678	|	932203	|	Crassinarke	|	genus	|	ncbi:2012958,worms:268865,gbif:2419751,irmng:1111041	|		|		|	
3594680	|	3594678	|	Crassinarke dormitor	|	species	|	ncbi:2012959,worms:280414,gbif:2419752,irmng:11222376	|		|		|	
802684	|	932203	|	Typhlonarke	|	genus	|	ncbi:1072513,worms:271183,gbif:2419769,irmng:1047018	|		|		|	
802673	|	802684	|	Typhlonarke aysoni	|	species	|	ncbi:1072514,worms:283076,gbif:2419771,irmng:10134676	|		|		|	
